order_id,customer_id,order_date,payment_method,delivery_type,waiter_id,status
1,42,13/11/2025 10:43,Easypaisa,Delivery,11,Cancelled
2,213,06/09/2025 19:28,Easypaisa,Dine-In,13,Completed
3,146,26/06/2025 16:07,JazzCash,Takeaway,11,Completed
4,307,24/01/2025 13:25,Cash,Dine-In,4,Completed
5,392,19/04/2025 22:08,Easypaisa,Delivery,6,Completed
6,221,04/01/2025 17:47,Card,Dine-In,7,Completed
7,343,14/09/2025 18:53,Easypaisa,Dine-In,7,Completed
8,40,12/08/2025 10:29,Easypaisa,Takeaway,7,Cancelled
9,149,30/12/2025 20:26,Cash,Delivery,1,Completed
10,236,29/03/2025 22:39,Easypaisa,Dine-In,7,Completed
11,206,05/05/2025 16:37,Cash,Delivery,14,Completed
12,399,23/06/2025 13:21,Card,Dine-In,9,Completed
13,398,29/09/2025 18:12,Easypaisa,Delivery,12,Completed
14,132,01/05/2025 11:09,Card,Dine-In,10,Completed
15,396,02/12/2025 11:11,JazzCash,Delivery,13,Cancelled
16,326,15/12/2025 19:41,Easypaisa,Takeaway,6,Completed
17,227,14/08/2025 11:30,Easypaisa,Delivery,10,Completed
18,159,30/06/2025 18:04,JazzCash,Delivery,1,Completed
19,40,08/07/2025 23:18,Cash,Takeaway,10,Cancelled
20,379,25/08/2025 19:35,Cash,Delivery,15,Completed
21,257,14/06/2025 19:30,Card,Dine-In,8,Completed
22,259,25/06/2025 21:05,Card,Dine-In,4,Cancelled
23,313,13/08/2025 18:33,Card,Delivery,6,Completed
24,174,18/07/2025 16:49,Cash,Takeaway,11,Completed
25,286,03/02/2025 15:06,JazzCash,Delivery,5,Completed
26,340,20/06/2025 11:37,Card,Delivery,5,Cancelled
27,44,08/03/2025 19:45,Easypaisa,Takeaway,7,Completed
28,379,07/03/2025 20:44,Cash,Takeaway,11,Cancelled
29,186,18/09/2025 15:01,Easypaisa,Dine-In,4,Completed
30,71,06/09/2025 13:14,Card,Dine-In,5,Completed
31,379,17/09/2025 22:34,Cash,Takeaway,6,Completed
32,84,02/11/2025 16:09,Card,Takeaway,13,Completed
33,187,13/08/2025 10:26,Card,Delivery,10,Completed
34,123,18/08/2025 13:34,Easypaisa,Delivery,15,Completed
35,226,08/07/2025 20:36,JazzCash,Delivery,13,Cancelled
36,83,15/09/2025 18:26,Card,Takeaway,3,Completed
37,191,27/01/2025 20:30,Cash,Takeaway,14,Completed
38,83,26/05/2025 11:48,Easypaisa,Delivery,15,Completed
39,114,12/08/2025 11:58,JazzCash,Delivery,15,Completed
40,258,01/08/2025 10:25,Easypaisa,Dine-In,7,Completed
41,164,11/07/2025 13:01,Cash,Takeaway,11,Completed
42,147,16/03/2025 12:02,JazzCash,Takeaway,14,Completed
43,316,28/12/2025 17:28,Cash,Dine-In,1,Completed
44,281,21/04/2025 23:09,JazzCash,Dine-In,13,Completed
45,25,02/05/2025 14:07,Card,Delivery,11,Cancelled
46,256,02/02/2025 11:53,Cash,Takeaway,9,Completed
47,1,15/03/2025 14:27,Easypaisa,Dine-In,10,Cancelled
48,44,06/04/2025 20:42,Easypaisa,Dine-In,9,Completed
49,23,19/07/2025 23:30,JazzCash,Delivery,5,Completed
50,177,02/07/2025 22:04,Card,Takeaway,11,Completed
51,171,25/10/2025 21:48,Card,Dine-In,6,Completed
52,399,26/11/2025 12:53,JazzCash,Takeaway,8,Completed
53,398,11/03/2025 11:45,JazzCash,Dine-In,5,Completed
54,22,23/01/2025 22:12,Easypaisa,Delivery,9,Cancelled
55,19,06/10/2025 17:16,Card,Delivery,6,Completed
